,Event,Overall,2007 SAE Baja UCF,,,,,,,,,,,,
,,Overall,1000,,,,,,,,,,,,
,,Data entered by:,JS/RP,,,,,,,,,,,,
,,Reviewed by:,RP/JS,,,,,,,,,,,,
,,Verified by:,,,,,,,,,,,,,
,,Posted by:,,,,,,,,,,,,,
,,Protest period:,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,Car,School,Team,Overall Score,Design,Cost,Accel,Mud Bog,S & T,Water,Sled Pull,Endurance,"Technical 
Inspection",Penalties,
64,70,Instituto Tecnologico de Aguascalientes,Aguscalientes Eagles,7.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,27,Georgia Insitute of Technology,GT Off-Road 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,28,Georgia Insitute of Technology,GT Off-Road 2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,36,Florida State Univ,Team Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,38,Univ of Central Florida,Knights Racing II,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,47,University of Arkansas-Little Rock,Trojan Racing,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,48,University of South Carolina,The Dirty Birds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,49,Andrews Univ,Andrews University,0.00,49.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.00,,
,55,Fairleigh Dickinson Univ,FDU Baja,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,59,University of Louisville,Speed Motorsports Team 2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,75,Morehouse College,AERO team at Morehouse,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,73,College of New Jersey,Lions,,,,,,,,,,,,
